Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
SSE_PRE_MISS.L1,r014b:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSE_PRE_MISS.L2,r024b:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOAD_HIT_PRE,r004c:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1D_PREFETCH.REQUESTS,r104e:u,-0.646035975764,64517,17797,32779,64516,64563,64637,64613,64615,64552,64613,64613,64601,64671,64557,64646,64660,64589,64714,64684,64704,64544,64586,64558,64562,64566,64576,64672,64644,64589,64527,64619,64709
L1I_READS,r0080:u,0.999999018177,30551340,27395624,24240999,21167327,16381563,16360998,16362189,16338532,16362655,16345162,16349136,16382706,16388505,16362022,16356669,16370286,16363422,16363903,16372176,16379539,16397696,16377704,16366287,16335847,16373839,16365602,16341000,16378378,16371729,16368919,16357444,16348342
L1I_MISSES,r0081:u,0.191499625318,12,8,14,3,9,2,15,5,5,16,5,5,2,15,4,8,10,9,4,12,8,4,10,7,8,10,13,4,6,11,7,3
ITLB.SMALL_MISS,r0282:u,0.150164815135,1,0,1,0,0,-2,1,0,0,2,0,0,-2,2,-1,0,1,1,0,1,0,-1,1,0,0,0,1,-1,0,1,0,0
ITLB.LARGE_MISS,r1082:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITLB.FLUSH,r4082:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITLB.MISSES,r1282:u,-0.0202450171371,0,0,1,0,0,-2,1,0,0,0,1,1,0,2,1,0,1,1,0,0,-2,0,1,1,1,0,0,0,0,0,0,0
INST_QUEUE.FULL,r0283:u,0.999995617571,17971801,14819715,11677387,8540428,3793541,3779683,3781142,3744700,3774588,3766150,3766207,3800977,3805235,3781745,3769332,3788558,3784595,3781179,3780961,3796975,3810874,3791229,3787282,3760247,3784777,3783336,3767417,3798396,3788078,3784400,3767364,3765659
CYCLES_L1I_MEM_STALLED,r0086:u,0.777864030165,10011,9116,6913,7734,5805,6902,5544,3559,5993,4424,5011,3157,6828,4136,4778,6094,4729,4299,4542,5674,4081,5725,2768,4747,4677,6151,4717,4177,5601,4969,4280,5912
ILD_STALL,r0087:u,0.112364349036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0
BR_INST_EXEC,r0088:u,0.941311952675,6291634,6291577,6291557,6291521,6291475,6291471,6291478,6291492,6291484,6291463,6291492,6291485,6291477,6291465,6291504,6291456,6291474,6291492,6291483,6291470,6291502,6291478,6291471,6291492,6291475,6291474,6291464,6291501,6291467,6291478,6291495,6291477
BR_MISSP_EXEC,r0089:u,0.104435138579,22,11,16,-1,8,9,13,18,14,4,15,14,10,3,24,-2,11,17,20,6,23,10,10,19,7,10,2,29,6,12,24,14
BR_BAC_MISSP_EXEC,r008a:u,0.15390235592,16,12,20,22,5,23,-7,7,7,34,10,6,16,23,6,20,34,-44,6,37,3,4,-1,-3,-15,17,-9,9,6,36,-42,13
BR_CND_EXEC,r008b:u,0.959031212847,6291617,6291621,6291580,6291563,6291471,6291487,6291486,6291474,6291479,6291492,6291478,6291471,6291486,6291482,6291472,6291487,6291501,6291467,6291473,6291501,6291476,6291475,6291488,6291474,6291466,6291483,6291485,6291474,6291475,6291491,6291468,6291482
BR_CND_MISSP_EXEC,r008c:u,0.162451272407,21,11,15,6,12,11,-1,19,13,7,10,16,14,6,18,5,10,13,22,4,17,21,5,13,25,13,5,17,8,9,8,17
BR_IND_EXEC,r008d:u,0.236511478924,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,-1,0,0,0,-1,0,0,-1,0,0,0,-1,0,-1,-1,0,0
BR_IND_MISSP_EXEC,r008e:u,0.090742190393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0
BR_RET_EXEC,r008f:u,-0.281053001783,0,-1,1,1,1,1,1,1,0,1,0,1,-1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0
BR_RET_MISSP_EXEC,r0090:u,-0.189140664966,-1,1,1,1,1,1,0,1,2,1,0,1,2,0,0,1,0,0,2,1,0,1,0,0,1,0,1,-1,2,1,0,2
BR_RET_BAC_MISSP_EXEC,r0091:u,0.0125722017987,0,8,4,2,20,11,0,4,-2,-2,-4,12,9,0,-18,23,-15,0,13,0,-6,11,-1,-18,19,-14,13,-29,28,9,0,19
BR_CALL_EXEC,r0092:u,0.0367952049643,1,0,1,1,1,-1,1,2,1,0,0,1,-1,1,1,0,-1,2,1,0,0,0,0,1,1,1,1,2,1,0,1,1
BR_CALL_MISSP_EXEC,r0093:u,0.132626042898,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
BR_IND_CALL_EXEC,r0094:u,0.151375057242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,-1,-1,0,0
BR_TKN_BUBBLE_1,r0097:u,0.135500709405,145,94,157,105,77,129,61,-141,124,298,90,34,211,136,-22,137,129,62,-102,257,31,170,200,-52,40,30,139,-58,137,187,96,-16
BR_TKN_BUBBLE_2,r0098:u,-0.143501949715,14,52,-52,46,46,-54,5,39,78,-69,62,63,59,11,68,62,10,70,105,28,-62,61,13,79,73,19,16,53,42,14,82,20
RS_UOPS_DISPATCHED,r00a0:u,0.769448283271,45092688,45093050,45091356,45091696,45091580,45090665,45090696,45091291,45091290,45090389,45091043,45091176,45090886,45090565,45091421,45090831,45090516,45091082,45091591,45090803,45090953,45090858,45090535,45091030,45091545,45090572,45090652,45091366,45091054,45090584,45091397,45090601
RS_UOPS_DISPATCHED.PORT0,r01a1:u,-0.855384365627,9157204,7823654,9071179,8384883,10339252,10336804,10304902,10330209,10331855,10329157,10339068,10339711,10346705,10327776,10339151,10332287,10347527,10341124,10343067,10343771,10329370,10338469,10310125,10329081,10329655,10330716,10338544,10339741,10345544,10325245,10346358,10323813
RS_UOPS_DISPATCHED.PORT1,r02a1:u,-0.96768531121,5243506,5243556,5255173,7676713,8550146,8545808,8552615,8545969,8546592,8551655,8552563,8566476,8556246,8545984,8550705,8553996,8548012,8551096,8555515,8550977,8552414,8550000,8552589,8551461,8546622,8547978,8549484,8561163,8563512,8546919,8549565,8553540
RS_UOPS_DISPATCHED.PORT2,r04a1:u,0.865725079831,10486607,10486459,10486454,10486351,10486100,10486059,10486073,10486218,10485969,10486047,10486120,10486157,10486024,10486140,10486221,10486070,10486057,10486124,10486140,10485976,10486239,10485973,10486032,10486173,10486195,10486025,10486070,10486185,10486074,10486040,10486119,10486067
RS_UOPS_DISPATCHED.PORT3,r08a1:u,0.693476074496,1048666,1048676,1048655,1048628,1048606,1048619,1048625,1048612,1048597,1048648,1048579,1048598,1048593,1048614,1048605,1048612,1048647,1048621,1048600,1048626,1048604,1048606,1048637,1048608,1048597,1048583,1048627,1048596,1048622,1048632,1048612,1048598
RS_UOPS_DISPATCHED.PORT4,r10a1:u,0.514579263221,1048640,1048631,1048600,1048618,1048601,1048589,1048616,1048563,1048596,1048612,1048621,1048607,1048584,1048608,1048600,1048590,1048599,1048617,1048577,1048617,1048598,1048598,1048603,1048614,1048603,1048590,1048612,1048588,1048595,1048610,1048611,1048568
RS_UOPS_DISPATCHED.PORT5,r20a1:u,0.960216964629,18106740,19444927,18188557,16441779,13618843,13625191,13646649,13633831,13632696,13625474,13615823,13595790,13606154,13638283,13618494,13623485,13612224,13614457,13606967,13610638,13626041,13619618,13642109,13626800,13631318,13627396,13618941,13605272,13601375,13635328,13610288,13631614
MACRO_INSTS.DECODED,r01aa:u,0.344234979302,38798729,38798168,38799375,38797830,38798133,38798025,38798104,38798259,38798174,38797836,38798682,38797994,38797932,38798336,38798622,38797849,38797916,38798788,38797814,38797821,38798362,38798004,38797592,38798485,38798340,38798045,38798272,38798703,38797921,38798047,38798723,38797886
MACRO_INSTS.CISC_DECODED,r08aa:u,-0.31018603836,-1,-3,2,-2,1,1,1,-1,2,-1,2,-3,1,1,3,1,0,4,-2,1,0,0,-2,2,3,1,1,3,0,1,6,-1
ESP.SYNCH,r01ab:u,0.0236729867415,3,0,0,4,-11,6,12,0,1,1,2,0,2,-3,2,0,6,0,1,5,1,2,-4,5,-7,4,-4,3,2,7,2,1
ESP.ADDITIONS,r02ab:u,0.0487713680162,13,0,5,19,-31,19,36,2,3,3,11,2,12,-17,7,-5,26,1,9,23,0,11,-7,15,-19,14,-11,12,10,26,10,6
SIMD_UOPS_EXEC,r00b0:u,0.911160066318,1048612,1048609,1048611,1048602,1048590,1048588,1048586,1048593,1048590,1048583,1048590,1048589,1048586,1048585,1048592,1048588,1048584,1048588,1048590,1048586,1048591,1048588,1048584,1048588,1048591,1048588,1048585,1048593,1048588,1048586,1048591,1048589
SIMD_SAT_UOP_EXEC,r00b1:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMD_UOP_TYPE_EXEC.MUL,r01b3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMD_UOP_TYPE_EXEC.SHIFT,r02b3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMD_UOP_TYPE_EXEC.PACK,r04b3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMD_UOP_TYPE_EXEC.UNPACK,r08b3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMD_UOP_TYPE_EXEC.LOGICAL,r10b3:u,-0.168318243554,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1
SIMD_UOP_TYPE_EXEC.ARITHMETIC,r20b3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INST_RETIRED.ANY_P,r00c0:u,0.78184660063,38797200,38797198,38797194,38797194,38797194,38797194,38797192,38797192,38797194,38797194,38797192,38797192,38797193,38797192,38797191,38797194,38797192,38797193,38797193,38797195,38797193,38797193,38797193,38797191,38797192,38797194,38797193,38797191,38797194,38797192,38797192,38797195
