Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
RS_UOPS_DISPATCHED.PORT2,r04a1:u,0.300633291136,2645649,2715266,2644591,2715163,2644452,2716148,2645496,2728248,2645638,2714271,2646460,2732658,2646482,2718038,2646322,2736773,2646178,2726136,2646409,2729162,2645346,2713105,2646500,2728283,2646264,2714208,2646626,2732076,2646328,2717254,2646175,2736467
RS_UOPS_DISPATCHED.PORT3,r08a1:u,0.290085870792,3167397,3238053,3166361,3231880,3166319,3240090,3167740,3244652,3166739,3241720,3168250,3250203,3167521,3245030,3168040,3258345,3168277,3255246,3168331,3246464,3164348,3237972,3168489,3245845,3168491,3241073,3168374,3249682,3167449,3244968,3168184,3258335
RS_UOPS_DISPATCHED.PORT4,r10a1:u,0.0802874225259,3149880,3172403,3151947,3167301,3150895,3179557,3153759,3193724,3153597,3199146,3154487,3206607,3154382,3206503,3154415,3200258,3154514,3201932,3154615,3199174,3153310,3194225,3154498,3198001,3154416,3199145,3154519,3204777,3154371,3205178,3154487,3200133
RS_UOPS_DISPATCHED.PORT5,r20a1:u,-0.557248155244,2957175,3238826,3154890,3449068,3814681,3995982,3470746,3854301,3728969,4345520,3976892,4148120,3753473,4237686,4003075,4334882,4032940,4453497,4012843,4543966,4030145,4465303,3980712,4383910,3942300,4185469,3978593,4109898,3726476,4234474,3988460,4326027
MACRO_INSTS.DECODED,r01aa:u,0.316448709194,11134364,11500844,11127673,11495252,11123097,11491929,11132295,11528549,11132610,11480646,11133138,11552967,11131061,11500567,11132530,11591525,11132998,11555804,11133092,11535105,11130036,11476546,11132893,11535034,11131989,11483890,11133422,11544304,11131672,11495080,11132596,11595495
MACRO_INSTS.CISC_DECODED,r08aa:u,0.287822571984,-1,10,2,4,-1,3,5,-3,2,5,4,4,-5,4,2,4,0,5,1,4,-2,4,-2,2,2,3,0,-3,1,3,2,7
ESP.SYNCH,r01ab:u,0.194006371598,6,13,1,5,6,-4,-1,10,0,2,1,3,-3,4,4,4,7,-1,1,6,7,-3,6,-3,3,-6,4,6,5,-7,8,1
ESP.ADDITIONS,r02ab:u,0.20823001946,24,49,6,27,32,0,5,35,5,9,13,13,-3,19,14,16,30,-1,10,19,26,-3,31,-15,19,-11,23,28,18,-10,33,8
SIMD_UOPS_EXEC,r00b0:u,0.243576238669,1319989,1346601,1319979,1344562,1319916,1346656,1320838,1352985,1321126,1350486,1321590,1356567,1321961,1350460,1321750,1358882,1321549,1357075,1321641,1355015,1319954,1348634,1321483,1354291,1321005,1348647,1321486,1356096,1321985,1349511,1321569,1359779
SIMD_SAT_UOP_EXEC,r00b1:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMD_UOP_TYPE_EXEC.MUL,r01b3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMD_UOP_TYPE_EXEC.SHIFT,r02b3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMD_UOP_TYPE_EXEC.PACK,r04b3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMD_UOP_TYPE_EXEC.UNPACK,r08b3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMD_UOP_TYPE_EXEC.LOGICAL,r10b3:u,0.0182743465288,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SIMD_UOP_TYPE_EXEC.ARITHMETIC,r20b3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
