Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,-0.805395936551,711,491,482,606,741,772,944,888,919,912,937,935,856,897,911,936,931,946,945,1048,986,1054,1270,1234,963,927,923,934,973,1019,1208,1222
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,-0.83126327933,1727,1523,1539,1672,1787,1800,1948,1963,1976,1961,2025,1985,1962,1970,1976,1996,1972,2012,1986,2089,1999,2085,2271,2257,2009,1973,1963,1970,2011,2055,2245,2258
L2_RQSTS.RFO_HIT,r4224:u,0.0915631459083,63741,63516,63557,63645,63504,64006,63790,63524,63758,63820,63512,63804,59215,60757,63444,63537,63063,63172,63657,63397,63680,63775,63623,63749,63677,63770,63737,63770,63669,63823,63506,63724
L2_RQSTS.RFO_MISS,r2224:u,-0.124570824019,1131,1490,1316,1305,1336,1219,1340,1430,1272,1244,1367,1265,4228,3188,1454,1491,1644,1587,1303,1452,1293,1342,1343,1321,1319,1313,1291,1299,1271,1320,1439,1342
L2_RQSTS.ALL_RFO,re224:u,-0.0808126231786,64871,64798,64886,65045,64855,65053,65022,65160,64926,64879,64926,64949,64842,65073,64811,64721,64216,64790,64868,64842,64799,65178,64899,64919,64964,65162,64918,65138,64950,65090,65021,65102
L2_RQSTS.CODE_RD_HIT,r4424:u,-0.13334434201,-5,1,4,-5,-4,-11,-3,-1,-4,-6,6,3,11,8,4,7,1,2,2,-2,8,9,1,6,1,-4,2,3,4,-3,2,-15
L2_RQSTS.CODE_RD_MISS,r2424:u,-0.0533922749841,7,8,0,3,0,4,5,-1,2,-1,6,1,4,6,3,9,4,2,10,5,14,3,5,3,3,2,5,4,10,-1,5,0
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,0.043672108246,2742,2845,2441,2255,2376,2299,2435,2416,2418,2396,2488,2358,2612,2494,2445,2638,4130,2557,2440,2607,2769,2298,2300,2300,2385,2345,2441,2288,2417,2341,2592,2319
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,-0.570548895398,66686,66378,66421,66614,66390,66810,66490,66880,67072,66963,66981,67036,66949,67112,66984,66945,67037,66862,66864,66993,66823,67273,67235,65996,66934,67041,66915,66983,67020,67136,67241,67346
L2_RQSTS.ALL_CODE_RD,re424:u,0.0168306519169,25,-4,15,-11,2,-10,14,-10,5,3,3,-14,11,8,7,17,0,-1,1,4,5,9,4,16,19,10,13,5,9,-7,6,4
